"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
48;"housemaid";"married";"tertiary";"no";468;"yes";"no";"unknown";14;"may";220;1;-1;0;"unknown";"no"
31;"management";"single";"tertiary";"no";10215;"no";"no";"cellular";22;"aug";139;2;-1;0;"unknown";"no"
45;"blue-collar";"married";"primary";"no";900;"yes";"no";"unknown";9;"jun";213;1;-1;0;"unknown";"no"
58;"blue-collar";"married";"primary";"no";1231;"no";"no";"unknown";20;"jun";21;3;-1;0;"unknown";"no"
35;"technician";"single";"tertiary";"no";5301;"no";"no";"cellular";21;"nov";937;2;-1;0;"unknown";"yes"
31;"management";"married";"tertiary";"no";155;"yes";"no";"cellular";8;"sep";214;1;99;1;"failure";"no"
43;"technician";"divorced";"secondary";"no";159;"no";"no";"cellular";11;"aug";160;2;-1;0;"unknown";"no"
28;"blue-collar";"married";"primary";"no";115;"yes";"no";"unknown";28;"may";78;4;-1;0;"unknown";"no"
35;"management";"single";"tertiary";"no";863;"no";"no";"cellular";11;"aug";481;2;-1;0;"unknown";"no"
46;"technician";"married";"secondary";"no";159;"no";"yes";"cellular";11;"aug";139;4;-1;0;"unknown";"no"
36;"blue-collar";"single";"primary";"no";295;"yes";"no";"cellular";17;"apr";287;1;-1;0;"unknown";"no"
60;"blue-collar";"married";"primary";"no";1670;"no";"no";"cellular";4;"aug";115;1;-1;0;"unknown";"no"
31;"unemployed";"single";"tertiary";"no";133;"yes";"no";"unknown";9;"may";480;2;-1;0;"unknown";"no"
37;"self-employed";"married";"secondary";"no";2203;"no";"yes";"cellular";5;"feb";9;8;-1;0;"unknown";"no"
43;"services";"married";"tertiary";"no";519;"yes";"no";"cellular";18;"may";715;6;-1;0;"unknown";"no"
57;"admin.";"single";"secondary";"no";5768;"yes";"no";"unknown";19;"jun";512;1;-1;0;"unknown";"yes"
50;"management";"married";"secondary";"no";309;"no";"no";"telephone";5;"jun";113;1;-1;0;"unknown";"no"
31;"blue-collar";"married";"secondary";"no";1117;"yes";"no";"unknown";28;"may";340;3;-1;0;"unknown";"no"
39;"self-employed";"married";"tertiary";"no";-176;"yes";"no";"unknown";15;"may";156;13;-1;0;"unknown";"no"
55;"technician";"married";"primary";"no";1498;"no";"yes";"unknown";17;"jun";345;2;-1;0;"unknown";"no"
45;"services";"married";"secondary";"no";462;"yes";"no";"cellular";11;"may";65;2;-1;0;"unknown";"no"
45;"services";"single";"secondary";"no";1378;"yes";"no";"cellular";15;"may";25;5;372;2;"failure";"no"
45;"technician";"single";"tertiary";"no";1591;"no";"no";"cellular";15;"jul";392;4;-1;0;"unknown";"no"
26;"blue-collar";"single";"secondary";"no";8;"yes";"no";"cellular";13;"may";167;1;-1;0;"unknown";"no"
35;"admin.";"married";"secondary";"no";-312;"no";"no";"cellular";30;"apr";116;1;21;1;"failure";"no"
39;"admin.";"divorced";"secondary";"no";2610;"no";"no";"unknown";6;"jun";67;5;-1;0;"unknown";"no"
48;"management";"single";"secondary";"no";1106;"no";"yes";"cellular";8;"jul";265;1;-1;0;"unknown";"no"
59;"retired";"married";"primary";"no";-266;"yes";"yes";"cellular";31;"jul";266;11;-1;0;"unknown";"no"
35;"technician";"married";"secondary";"no";1092;"no";"no";"cellular";18;"may";132;1;360;1;"failure";"no"
32;"technician";"married";"secondary";"no";90;"yes";"yes";"unknown";6;"may";57;2;-1;0;"unknown";"no"
51;"admin.";"divorced";"secondary";"no";3029;"yes";"yes";"cellular";31;"jul";118;2;-1;0;"unknown";"no"
34;"blue-collar";"single";"primary";"no";85;"no";"no";"unknown";16;"may";136;1;-1;0;"unknown";"no"
38;"services";"divorced";"secondary";"no";-10;"yes";"no";"unknown";17;"jun";61;2;-1;0;"unknown";"no"
35;"admin.";"married";"unknown";"no";1055;"no";"no";"cellular";2;"mar";59;2;-1;0;"unknown";"no"
29;"self-employed";"married";"tertiary";"yes";-1083;"yes";"no";"unknown";4;"jun";139;2;-1;0;"unknown";"no"
41;"technician";"single";"secondary";"no";2242;"yes";"no";"cellular";6;"may";459;4;-1;0;"unknown";"no"
32;"management";"married";"tertiary";"no";1388;"no";"no";"cellular";8;"aug";161;6;-1;0;"unknown";"no"
34;"blue-collar";"married";"secondary";"no";0;"yes";"no";"cellular";8;"may";325;1;170;2;"failure";"no"
32;"admin.";"married";"secondary";"no";203;"yes";"yes";"cellular";7;"may";219;2;-1;0;"unknown";"no"
43;"technician";"single";"secondary";"no";33;"yes";"no";"unknown";27;"may";93;10;-1;0;"unknown";"no"
